// sample: {time(ms),pitch(deg),pitch_spd(rad/s),yaw(deg),yaw_spd(rad/s)},
{
{0, 0.0f, 0.0f, -7.953585f, 0.740745f},
{2, 0.0f, 0.0f, -7.867830f, 0.755953f},
{4, 0.0f, 0.0f, -7.780336f, 0.771083f},
{6, 0.0f, 0.0f, -7.691114f, 0.786131f},
{8, 0.0f, 0.0f, -7.600172f, 0.801090f},
{10, 0.0f, 0.0f, -7.507521f, 0.815956f},
{12, 0.0f, 0.0f, -7.413172f, 0.830721f},
{14, 0.0f, 0.0f, -7.317138f, 0.845381f},
{16, 0.0f, 0.0f, -7.219430f, 0.859929f},
{18, 0.0f, 0.0f, -7.120061f, 0.874359f},
{20, 0.0f, 0.0f, -7.019046f, 0.888666f},
{22, 0.0f, 0.0f, -6.916399f, 0.902843f},
{24, 0.0f, 0.0f, -6.812135f, 0.916884f},
{26, 0.0f, 0.0f, -6.706270f, 0.930784f},
{28, 0.0f, 0.0f, -6.598820f, 0.944535f},
{30, 0.0f, 0.0f, -6.489804f, 0.958132f},
{32, 0.0f, 0.0f, -6.379239f, 0.971569f},
{34, 0.0f, 0.0f, -6.267143f, 0.984840f},
{36, 0.0f, 0.0f, -6.153537f, 0.997937f},
{38, 0.0f, 0.0f, -6.038440f, 1.010856f},
{40, 0.0f, 0.0f, -5.921873f, 1.023589f},
{42, 0.0f, 0.0f, -5.803858f, 1.036131f},
{44, 0.0f, 0.0f, -5.684417f, 1.048475f},
{46, 0.0f, 0.0f, -5.563573f, 1.060616f},
{48, 0.0f, 0.0f, -5.441350f, 1.072547f},
{50, 0.0f, 0.0f, -5.317771f, 1.084262f},
{52, 0.0f, 0.0f, -5.192863f, 1.095756f},
{54, 0.0f, 0.0f, -5.066651f, 1.107021f},
{56, 0.0f, 0.0f, -4.939162f, 1.118053f},
{58, 0.0f, 0.0f, -4.810422f, 1.128844f},
{60, 0.0f, 0.0f, -4.680459f, 1.139391f},
{62, 0.0f, 0.0f, -4.549302f, 1.149686f},
{64, 0.0f, 0.0f, -4.416980f, 1.159724f},
{66, 0.0f, 0.0f, -4.283523f, 1.169500f},
{68, 0.0f, 0.0f, -4.148961f, 1.179008f},
{70, 0.0f, 0.0f, -4.013325f, 1.188243f},
{72, 0.0f, 0.0f, -3.876647f, 1.197199f},
{74, 0.0f, 0.0f, -3.738958f, 1.205872f},
{76, 0.0f, 0.0f, -3.600292f, 1.214256f},
{78, 0.0f, 0.0f, -3.460683f, 1.222346f},
{80, 0.0f, 0.0f, -3.320163f, 1.230138f},
{82, 0.0f, 0.0f, -3.178767f, 1.237628f},
{84, 0.0f, 0.0f, -3.036531f, 1.244810f},
{86, 0.0f, 0.0f, -2.893490f, 1.251680f},
{88, 0.0f, 0.0f, -2.749679f, 1.258235f},
{90, 0.0f, 0.0f, -2.605136f, 1.264471f},
{92, 0.0f, 0.0f, -2.459896f, 1.270382f},
{94, 0.0f, 0.0f, -2.313998f, 1.275967f},
{96, 0.0f, 0.0f, -2.167479f, 1.281221f},
{98, 0.0f, 0.0f, -2.020377f, 1.286142f},
{100, 0.0f, 0.0f, -1.872730f, 1.290725f},
{102, 0.0f, 0.0f, -1.724577f, 1.294969f},
{104, 0.0f, 0.0f, -1.575958f, 1.298871f},
{106, 0.0f, 0.0f, -1.426911f, 1.302428f},
{108, 0.0f, 0.0f, -1.277477f, 1.305638f},
{110, 0.0f, 0.0f, -1.127695f, 1.308499f},
{112, 0.0f, 0.0f, -0.977605f, 1.311009f},
{114, 0.0f, 0.0f, -0.827247f, 1.313167f},
{116, 0.0f, 0.0f, -0.676663f, 1.314971f},
{118, 0.0f, 0.0f, -0.525892f, 1.316420f},
{120, 0.0f, 0.0f, -0.374975f, 1.317513f},
